manga_id,manga_name,manga_rank
2,Berserk,1
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,2
25,Fullmetal Alchemist,3
13,One Piece,4
1,Monster,5
4632,Oyasumi Punpun,6
70345,Grand Blue,7
656,Vagabond,8
16765,Kingdom,9
51,Slam Dunk,10
3,20th Century Boys,11
91941,Made in Abyss,12
14893,Monogatari Series: First Season,13
40171,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,14
55215,Utsuro no Hako to Zero no Maria,15
651,Kaze no Tani no Nausicaä,16
9115,Ookami to Koushinryou,17
104,Yotsuba to!,18
336,GTO,19
21525,Akatsuki no Yona,20
23751,Monogatari Series: Second Season,21
14483,Uchuu Kyoudai,22
56805,Koe no Katachi,23
1303,Ashita no Joe,24
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,25
418,Mushishi,26
44347,One Punch-Man,27
44227,Monogatari Series: Final Season,28
44489,Houseki no Kuni,29
1859,Natsume Yuujinchou,30
100128,Yakusoku no Neverland,31
642,Vinland Saga,32
35243,Haikyuu!!,33
81669,Overlord,34
21,Death Note,35
904,Kozure Ookami,36
11734,Watashitachi no Shiawase na Jikan,37
81211,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,38
664,Akira,39
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",40
1224,3-gatsu no Lion,41
44307,Kakukaku Shikajika,42
74697,Re:Zero kara Hajimeru Isekai Seikatsu,43
657,Real,44
9726,Zaregoto Series,45
28,Nana,46
34053,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,47
111213,Bastard,48
26,Hunter x Hunter,49
145,Beck,50
6978,Ginga Eiyuu Densetsu,51
24875,Shinyaku Toaru Majutsu no Index,52
37707,Shigatsu wa Kimi no Uso,53
42001,Song of the Long March,54
79993,Umineko no Naku Koro ni Chiru,55
35513,Koten-bu Series,56
78523,ReLIFE,57
7,Hajime no Ippo,58
22,Rurouni Kenshin: Meiji Kenkaku Romantan,59
81,Aria,60
399,Kino no Tabi: The Beautiful World,61
610,Skip Beat!,62
60553,Kono Subarashii Sekai ni Shukufuku wo!,63
4,Yokohama Kaidashi Kikou,64
1342,Baccano!,65
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,66
48399,No Game No Life,67
104039,86,68
214,Kidou Senshi Gundam: The Origin,69
3031,Pandora Hearts,70
28393,Sakamichi no Apollon,71
46282,Chikan Otoko,72
97244,Shimanami Tasogare,73
3649,Fate/Zero,74
3807,Juuni Kokuki,75
11327,One Outs,76
98930,Violet Evergarden,77
66517,Umineko no Naku Koro ni,78
70261,Mushoku Tensei: Isekai Ittara Honki Dasu,79
89357,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,80
3083,Suzumiya Haruhi Series,81
1325,Hi no Tori (1967),82
29211,Gekkan Shoujo Nozaki-kun,83
33327,Tokyo Ghoul,84
756,Banana Fish,85
99314,Kimi no Na wa.,86
99821,Shinsetsu Ookami to Koushinryou: Ookami to Youhishi,87
8586,The Breaker,88
