manga_id,score,user,weight
2,10,TheCriticsClub,1315
2,7,Polyphemus,771
2,10,qrdel,704
2,10,Cobbles,322
2,10,Aja,127
2,6,Tumerking,115
2,7,aindah,48
2,9,infinity,43
2,3,hardcase,29
2,10,IronBerserk,40
2,4,M0nkeyD_Luffy,33
2,10,Neiru2013,26
2,8,literaturenerd,26
2,7,Saiyra,24
2,10,ironcladgranite,23
2,10,dg2500,22
2,6,Agehaa,10
2,8,ChouEritto,7
2,10,TheSpicyDonut,20
2,4,Sibi_Gowtham,9
2,9,ChickenSpoon,16
2,9,kuglefang,15
2,10,NoahKujo,14
2,10,TheGreatCthulhu,13
2,10,Roflkopt3r,13
2,10,AuKosS,13
2,7,pistachio20,13
2,8,Chnapy,5
2,6,butthurtbrigade,8
2,8,yasmi-chan,12
2,1,MortalMelancholy,6
2,10,Aquaduck,10
2,10,taztinky,10
2,10,Cypherion,10
2,10,kasser,10
2,10,RogerZaraki,10
2,10,Animaniakos,10
2,6,young_kappa,5
2,10,MAND4,9
2,8,linoras,9
2,9,Ayato-kun,9
2,10,Shaja,8
2,10,LampHead,8
2,10,LaLijaaa,5
2,10,ThisIsTarquin,6
2,10,OmegaKatana92,6
2,10,OtakuMangaGamer,6
2,10,gautam,6
2,4,tuant,4
2,9,MariskaClaire,2
2,9,MasterWarlord,4
2,9,critic,5
2,10,Valkata,5
2,10,jowb63,5
2,10,leoniveli,2
2,8,Concomitant,2
2,9,Buster01,4
2,10,JOHNCH3,3
2,10,jigga69000,3
2,8,Little_Red_Rogue,3
2,9,a_tisket,3
2,9,philipmarie,3
2,9,Varkhal01,1
2,10,AgentK300,1
2,10,smoochumz,1
2,10,Glitchy_Wallaby,1
2,8,Karabanera,1
2,10,ShotgunXShogun,1
2,10,jmsjrdn,1
2,8,Chinaz,1
2,9,Mineaanagram,1
2,9,franzthewizard,2
2,8,catullus_d_rus,2
2,10,TheFlashmaster,1
2,10,Vaffanculo_,1
2,10,NewVegasResident,1
2,10,Dieghoull,1
2,10,Meew2,1
2,9,Torra27,1
2,10,kwire042,1
2,10,taffydmonkey,1
2,10,guih_BENTZEN11,1
2,8,mkzxwing,1
2,7,valtiel01,0
2,10,manirock,0
2,9,DimsTheImmortal,0
2,10,Tia_Delimuerta,0
2,10,Big_Jims_Grill,0
2,10,oiphandy4321,0
2,10,RustyPenny,0
2,10,gabrielcoelh0,0
2,10,ralphsobremonte,0
2,9,Sevenlock,0
2,7,WizardSnorkel,0
2,10,Pavement,0
2,10,DatBacon,0
2,10,kuro-bankai,0
2,10,FatNinja,0
2,7,KnifeManofMD,0
1706,10,Realhumanbean,338
1706,9,ClownOnACloud,150
1706,6,BardJungle,49
1706,9,Tomah,87
1706,9,Rikuson1,20
1706,5,gakinotsukai,8
1706,10,Animer_man,12
1706,10,Sefiroz,9
1706,9,Dietrologia,11
1706,10,larkinsmithx,5
1706,10,Elfezen,5
1706,9,MeesaWBush,4
1706,10,JohnnyxJoestar,4
1706,10,LuckyYounes,2
1706,10,PANZUUSS,2
1706,10,Sinuquera,2
1706,9,jiroutachi,2
1706,10,Crazy_D,3
1706,10,KuroginJoestar,2
1706,10,Spookify_,2
1706,10,reaper2020,3
1706,10,Hyundara,2
1706,10,heartattacks,1
1706,10,KevynCosta,1
1706,10,htxgang_gang,1
1706,9,MazokuWolf,1
25,9,Archaeon,444
25,10,MayuzumiYukie,315
25,7,Polyphemus,157
25,10,iAlkemy,116
25,10,EmeraldWolfChild,82
25,10,WithMyCigs,22
25,10,Damonashu,34
25,10,eneri,21
25,10,siovannie,11
25,9,Alexeii,10
25,9,xxPuri-chanxx,10
25,8,06blackheart,9
25,10,kyokai,9
25,10,Shar,9
25,10,ConstantReader,9
25,10,sergeyo13,8
25,10,Mugiwara-Pyon,8
25,10,Eternal_Light,7
25,10,SillyMellow92,7
25,10,KeyboardKafe,3
25,10,Tetsuoz,6
25,9,stackleberg,5
25,10,rokkugoh,5
25,10,Smelvin328,4
25,10,Chabit,4
25,10,mirelavx,3
25,9,Eka,3
25,7,Antikollektivist,1
25,8,AJ,1
25,8,MisaTange,2
25,9,DaAnimeTube,1
25,10,NewVegasResident,1
25,10,BlerdGirl,1
25,10,alchemicbender,0
25,9,Mikosa63,0
25,10,Fenrisulfr6,0
25,10,rakiztah,0
25,10,Hhgg,0
25,8,butthurtbrigade,0
25,9,Waynflete,0
13,10,CottonCandyLover,1141
13,10,VK11,874
13,1,Krystopher,455
13,10,vavoysh,285
13,1,Tumerking,127
13,10,ronyharsono,104
13,10,animedonut,102
13,10,Demonicpoodle,86
13,5,whazzits,80
13,1,no_forehead,77
13,10,Mokenda,72
13,10,Ribbun,69
13,10,MattLocke,63
13,10,violentroll,54
13,10,Jeffu-San,15
13,10,manok,45
